Feature,Importance
district_544M,25
case_id,8
log_mainoccupationinc_437A,6
prev_credamount_mean,6
profession_152M,6
case_id_mul_byoccupationinc_3656910L,4
annuity_853A,3
annuity_853A_div_byoccupationinc_3656910L,3
cancelreason_3545846M,3
num_prev_apps,3
postype_4733339M,3
case_id_div_byoccupationinc_3656910L,2
case_id_mul_annuity_853A,2
num_group1,2
maxdpdtolerance_577P,2
rejectreason_755M,2
childnum_21L,2
credamount_590A,2
pmtnum_8L,1
credtype_587L,1
downpmt_134A,1
credacc_actualbalance_314A,1
mainoccupationinc_437A,1
credacc_minhisbal_90A,1
case_id_div_annuity_853A,0
case_id_div_approvaldate_319D,0
case_id_mul_approvaldate_319D,0
currdebt_94A,0
creationdate_885D,0
case_id_mul_actualdpd_943P,0
approvaldate_319D_years,0
dateactivated_425D_years,0
firstnonzeroinstldate_307D_years,0
case_id_div_actualdpd_943P,0
actualdpd_943P_mul_annuity_853A,0
byoccupationinc_3656910L,0
creationdate_885D_years,0
actualdpd_943P_div_annuity_853A,0
actualdpd_943P_mul_approvaldate_319D,0
actualdpd_943P_div_approvaldate_319D,0
actualdpd_943P_mul_byoccupationinc_3656910L,0
actualdpd_943P_div_byoccupationinc_3656910L,0
annuity_853A_mul_approvaldate_319D,0
annuity_853A_div_approvaldate_319D,0
annuity_853A_mul_byoccupationinc_3656910L,0
approvaldate_319D,0
approvaldate_319D_mul_byoccupationinc_3656910L,0
dtlastpmtallstes_3545839D_years,0
log_credamount_590A,0
dtlastpmt_581D_years,0
employedfrom_700D_years,0
dtlastpmt_581D,0
dtlastpmtallstes_3545839D,0
education_1138M,0
employedfrom_700D,0
familystate_726L,0
firstnonzeroinstldate_307D,0
inittransactioncode_279L,0
isbidproduct_390L,0
isdebitcard_527L,0
credacc_transactions_402L,0
outstandingdebt_522A,0
credacc_status_367L,0
actualdpd_943P,0
rejectreasonclient_4145042M,0
revolvingaccount_394A,0
status_219L,0
tenor_203L,0
credacc_maxhisbal_375A,0
credacc_credlmt_575A,0
log_annuity_853A,0
dateactivated_425D,0
approvaldate_319D_div_byoccupationinc_3656910L,0
